"Language","original","english","czech","german","russian","polish","hungarian","italian","spanish","french","chinese","japanese","portuguese","chinesesimp",
"str_iz_cfgvehicles_mp5_railhndgrd0","MP5-K Rail Handguard","MP5-K Rail Handguard","Předpažbí s lištami MP5-K","MP5-K-Schienen-Handschutz","Реечная ствольная накладка MP5-K","Łoże MP5-K","MP5-K Rail Handguard","Paramani da scanalatura MP5-K","Empuñadura de riel MP5-K","Garde-main à rail de MP5-K","MP5-K 導軌扶手","MP5-K レールハンドガード","MP5-K Rail Handguard","MP5-K 钢轨护手",
"str_iz_cfgvehicles_mp5_railhndgrd1","A rail handguard with vertical grip for MP5-K submachine gun. Allows mounting of additional accessories.","A rail handguard with vertical grip for MP5-K submachine gun. Allows mounting of additional accessories.","Předpažbí s lištami s vertikální rukojetí na samopal MP5-K. Umožňuje namontování dalších doplňků.","Schienen-Handschutz mit vertikalem Griff für die MP5-K-Maschinenpistole. Ermöglicht Anbringung weiterer Zubehörteile. ","Реечная ствольная накладка с вертикальным захватом для пистолета-пулемета MP5-K. Позволяет устанавливать различные приспособления.","Łoże z pionowym uchwytem do pistoletu maszynowego MP5-K. Umożliwia doczepianie dodatkowych akcesoriów.","A rail handguard with vertical grip for MP5-K submachine gun. Allows mounting of additional accessories.","Paramani da scanalatura con impugnatura verticale per mitra MP5-K. Consente di montare ulteriori accessori.","Una empuñadura de riel y agarre vertical para la metralleta MP5-K. Se le pueden enganchar accesorios adicionales.","Un garde-main avec manche vertical pour le pistolet mitrailleur MP5-K. Le rail permet l'ajout d'accessoires.","導軌扶手，含垂直握柄，適用 MP5-K 機關槍。可額外加裝配件。","MP5-K 短機関銃のための垂直のグリップが付いたレールハンドガード。追加で付属品を取り付けることができる。","A rail handguard with vertical grip for MP5-K submachine gun. Allows mounting of additional accessories.","MP5-K 冲锋枪的带垂直握把的钢轨护手。可安装额外的附件。",

"str_iz_cfgvehicles_mp5_plastichndgrd0","MP5-K Polymer Handguard","MP5-K Polymer Handguard","Polymerové předpažbí MP5-K","MP5-K-Polymer-Handschutz","Полимерное цевьё MP5-K","Polimerowe łoże lufy MP5-K","MP5-K Polymer Handguard","Paramani in polimero MP5-K","Empuñadura de polímero MP5-K","Garde-main polymère de MP5-K","MP5-K 聚合物扶手","MP5-K ポリマーハンドガード","MP5-K Polymer Handguard","MP5-K 聚合物护手",
"str_iz_cfgvehicles_mp5_plastichndgrd1","A polymer handguard with vertical grip for MP5-K submachine gun.","A polymer handguard with vertical grip for MP5-K submachine gun.","Polymerové předpažbí s vertikální rukojetí na samopal MP5-K.","Polymer-Handschutz mit vertikalem Griff für die MP5-K-Maschinenpistole.","Полимерная ствольная накладка с вертикальным захватом для пистолета-пулемета MP5-K.","Polimerowe łoże lufy z pionowym uchwytem do pistoletu maszynowego MP5-K.","A polymer handguard with vertical grip for MP5-K submachine gun.","Paramani in polimero con impugnatura verticale per mitra MP5-K.","Una empuñadura de polímero y agarre vertical para la metralleta MP5-K.","Un garde-main en polymère avec manche vertical pour le pistolet mitrailleur MP5-K.","聚合物扶手，含垂直握柄，適用 MP5-K 機關槍。","MP5-K 短機関銃のための垂直のグリップが付いたポリマーハンドガード。","A polymer handguard with vertical grip for MP5-K submachine gun.","MP5-K 冲锋枪的带垂直握把的聚合物护手。",

"str_iz_cfgvehicles_mp5k_stockbttstck0","MP5-K Folding buttstock","MP5-K Folding buttstock","Skládací pažba MP5-K","Faltbare MP5-K-Schulterstütze","Складной приклад для MP5-K","Składana kolba MP5-K","MP5-K Folding buttstock","Calcio pieghevole MP5-K","Culata plegable MP5-K","Crosse pliante de MP5-K","MP5-K 摺疊式槍托","MP5-K 折り畳み式銃床","MP5-K Folding buttstock","MP5-K 折叠枪托",
"str_iz_cfgvehicles_mp5k_stockbttstck1","A folding buttstock for MP5-K submachine gun.","A folding buttstock for MP5-K submachine gun.","Skládací pažba samopalu MP5-K.","Faltbare Schulterstütze für die MP5-K-Maschinenpistole.","Складной приклад для пистолета-пулемета MP5-K.","Składana kolba do pistoletu maszynowego MP5-K.","A folding buttstock for MP5-K submachine gun.","Calcio pieghevole per mitra MP5-K.","Una culata plegable para una metralleta MP5-K.","Une crosse pliante pour le pistolet mitrailleur MP5-K.","摺疊式槍托，適用 MP5-K 機關槍。","MP5-K 短機関銃のための折り畳み式銃床。","A folding buttstock for MP5-K submachine gun.","MP5-K 冲锋枪的折叠枪托。",

"str_iz_cfgvehicles_mosin_bayonet0","Mosin 91/30 Bayonet","Mosin 91/30 Bayonet","Bajonet Mosin 91/30","Mosin 91/30-Bajonett","Штык для винтовки Мосина","Bagnet Mosin 91/30","Mosin 91/30 Bayonet","Baionetta Mosin 91/30","Bayoneta para Mosin 91/30","Baïonnette de Mosin 91/30","Mosin 91/30 刺刀","モシン 91/30 銃剣","Mosin 91/30 Bayonet","Mosin 91/30 刺刀",
"str_iz_cfgvehicles_mosin_bayonet1","A bayonet for Mosin 91/30 rifle with a bayonet lug.","A bayonet for Mosin 91/30 rifle with a bayonet lug.","Bajonet na pušku Mosin 91/30 s montáží na bajonet.","Ein Bajonett für das Mosin 91/30-Gewehr mit Bajonettaufsatz.","Штык для винтовки Мосина обр. 1891/30 гг. с выступом для крепления штыка.","Bagnet na karabin Mosin 91/30 z odpowiednim uchwytem.","A bayonet for Mosin 91/30 rifle with a bayonet lug.","Una baionetta per fucile Mosin 91/30 con un attacco per baionetta.","Una bayoneta para el fusil Mosin 91/30, con un agarre de bayoneta.","Une baïonnette pouvant être fixée au fusil Mosin 91/30.","刺刀，可加裝在有刺刀座的 Mosin 91/30 步槍。","着剣ラグのあるモシン 91/30 ライフルのための銃剣。","A bayonet for Mosin 91/30 rifle with a bayonet lug.","一种带有刺刀座的 Mosin 91/30 步枪的刺刀。",

"str_iz_cfgvehicles_m9a1_bayonet0","M4A1 Bayonet","M4A1 Bayonet","Bajonet M4A1","M4A1-Bajonett","Штык для M4A1","Bagnet M4A1","M4A1 Bayonet","Baionetta M4A1","Bayoneta para M4A1","Baïonnette de M4A1","M4A1 刺刀","M4A1 銃剣","M4A1 Bayonet","M4A1 刺刀",
"str_iz_cfgvehicles_m9a1_bayonet1","A bayonet for M4A1 assault rifle with a bayonet lug.","A bayonet for M4A1 assault rifle with a bayonet lug.","Bajonet na útočnou pušku M4A1 s montáží na bajonet.","Ein Bajonett für das M4A1-Sturmgewehr mit Bajonettaufsatz.","Штык для автомата M4A1 с выступом для крепления штыка.","Bagnet na karabin M4A1 z odpowiednim uchwytem.","A bayonet for M4A1 assault rifle with a bayonet lug.","Una baionetta per fucile d’assalto M4A1 dotato di attacco per baionetta.","Una bayoneta para el fusil de asalto M4A1, con un agarre de bayoneta.","Une baïonnette pouvant être fixée au fusil d'assaut M4A1.","刺刀，可加裝在有刺刀座的 M4A1 突擊步槍。","着剣ラグのある M4A1 アサルトライフルのための銃剣。","A bayonet for M4A1 assault rifle with a bayonet lug.","一种带有刺刀座的 M4A1 突击步枪的刺刀。",

"str_iz_cfgvehicles_m4_suppressor0","Standardized Suppressor","Standardized Suppressor","Standardizovaný tlumič","Standardisierter Schalldämpfer","Стандартный глушитель","Standardowy tłumik","Standardized Suppressor","Silenziatore standardizzato","Silenciador estándar","Silencieux standardisé","標準消音器","標準サプレッサー","Standardized Suppressor","标准化抑制器",
"str_iz_cfgvehicles_m4_suppressor1","A muzzle device for select rifles used by alliance forces. Reduces sound intensity and muzzle flash generated by firing.","A muzzle device for select rifles used by alliance forces. Reduces sound intensity and muzzle flash generated by firing.","Zařízení na ústí hlavně na vybrané pušky aliančních sil. Při výstřelu snižuje intenzitu zvuku a záblesk z hlavně.","Ein Laufaufsatz für diverse Gewehre, das von den Allianzstreitkräften eingesetzt wurde. Reduziert Lärm und Mündungsfeuer.","Глушитель для некоторых винтовок, состоящих на вооружении сил альянса. Уменьшает громкость звука и дульное пламя при стрельбе.","Tłumik do wybranych karabinów wykorzystywanych przez siły przymierza. Tłumi dźwięki i zmniejsza rozbłysk po wystrzale.","A muzzle device for select rifles used by alliance forces. Reduces sound intensity and muzzle flash generated by firing.","Congegno da montare alla volata di determinati fucili utilizzati dalle forze dell’alleanza per ridurre l’intensità del suono e il flash di bocca generato dallo sparo.","Un dispositivo silenciador para una selección de fusiles de las tropas de la Alianza. Reduce tanto la intensidad del sonido como el fogonazo que se produce al disparar.","Un dispositif monté sur le canon de certains fusils de l'Alliance. Réduit l'intensité du son et du flash lumineux produits par le tir.","槍口配件，適用於盟軍的某些步槍。降低開槍時的聲音強度與槍口火光。","同盟軍によって使用される特定のライフルのための銃口装置。射撃の際に発生する音の強さと銃口の火花を減少させる。","A muzzle device for select rifles used by alliance forces. Reduces sound intensity and muzzle flash generated by firing.","联盟部队使用的精选步枪的枪口装置。可减少射击产生的声音强度和枪口焰。",

"str_iz_cfgvehicles_m4_rishndgrd0","M4A1 Rail Handguard","M4A1 Rail Handguard","Předpažbí s lištami M4A1","M4A1-Schienen-Handschutz","Реечное цевьё M4A1","Łoże lufy M4A1","M4A1 Rail Handguard","Paramani da scanalatura M4A1","Empuñadura de riel M4A1","Garde-main à rail de M4A1","M4A1 導軌扶手","M4A1 レールハンドガード","M4A1 Rail Handguard","M4A1 钢轨护手",
"str_iz_cfgvehicles_m4_rishndgrd1","A rail handguard for M4A1 assault rifle. Allows mounting of additional accessories.","A rail handguard for M4A1 assault rifle. Allows mounting of additional accessories.","Předpažbí s lištami na útočnou pušku M4A1. Umožňuje namontování dalších doplňků.","Schienen-Handschutz für das M4A1-Sturmgewehr. Ermöglicht Anbringung weiterer Zubehörteile.","Реечная ствольная накладка для автомата M4A1. Позволяет устанавливать различные приспособления.","Łoże do karabinu szturmowego M4A1. Umożliwia doczepianie dodatkowych akcesoriów.","A rail handguard for M4A1 assault rifle. Allows mounting of additional accessories.","Paramani da scanalatura per il fucile d’assalto M4A1. Consente di montare ulteriori accessori.","Una empuñadura de riel para el fusil de asalto M4A1. Se le pueden enganchar accesorios adicionales.","Un garde-main pour le fusil d'assaut M4A1. Le rail permet l'ajout d'accessoires.","導軌扶手，適用 M4A1 突擊步槍。可額外加裝配件。","M4A1 アサルトライフルのためのレールハンドガード。追加で付属品を取り付けることができる。","A rail handguard for M4A1 assault rifle. Allows mounting of additional accessories.","M4A1 突击步枪的钢轨护手。可安装额外的附件。",

"str_iz_cfgvehicles_m4_plastichndgrd0","M4A1 Polymer Handguard","M4A1 Polymer Handguard","Polymerové předpažbí M4A1","M4A1-Polymer-Handschutz","Полимерное цевьё M4A1","Polimerowe łoże lufy M4A1","M4A1 Polymer Handguard","Paramani in polimero M4A1","Empuñadura de polímero M4A1","Garde-main polymère de M4A1","M4A1 聚合物扶手","M4A1 ポリマーハンドガード","M4A1 Polymer Handguard","M4A1 聚合物护手",
"str_iz_cfgvehicles_m4_plastichndgrd1","A polymer handguard for M4A1 assault rifle.","A polymer handguard for M4A1 assault rifle.","Polymerové předpažbí na útočnou pušku M4A1.","Polymer-Handschutz für das M4A1-Sturmgewehr.","Полимерная ствольная накладка для автомата M4A1.","Polimerowe łoże do karabinu szturmowego M4A1.","A polymer handguard for M4A1 assault rifle.","Paramani in polimero per il fucile d’assalto M4A1.","Una empuñadura de polímero para el fusil de asalto M4A1.","Un garde-main en polymère pour fusil d'assaut M4A1.","聚合物扶手，適用 M4A1 突擊步槍。","M4A1 アサルトライフルのためのポリマーハンドガード。","A polymer handguard for M4A1 assault rifle.","M4A1 突击步枪的聚合物护手。",

"str_iz_cfgvehicles_m4_oebttstck0","M4A1 Telescopic Buttstock","M4A1 Telescopic Buttstock","Teleskopická pažba M4A1","Ausziehbare M4A1-Schulterstütze","Складной приклад для M4A1","Teleskopowa kolba M4A1","M4A1 Telescopic Buttstock","Calcio telescopico M4A1","Culata telescópica M4A1","Crosse télescopique de M4A1","M4A1 伸縮式槍托","M4A1 伸縮式銃床","M4A1 Telescopic Buttstock","M4A1 伸缩式枪托",
"str_iz_cfgvehicles_m4_oebttstck1","A telescopic buttstock for M4A1 assault rifle.","A telescopic buttstock for M4A1 assault rifle.","Teleskopická pažba na útočnou pušku M4A1.","Ausziehbare Schulterstütze für das M4A1-Sturmgewehr.","Телескопический приклад для автомата M4A1.","Teleskopowa kolba do karabinu szturmowego M4A1.","A telescopic buttstock for M4A1 assault rifle.","Calcio telescopico per il fucile d’assalto M4A1.","Una culata telescópica para el fusil de asalto M4A1.","Une crosse télescopique pour fusil d'assaut M4A1.","伸縮式槍托，適用 M4A1 突擊步槍。","M4A1 アサルトライフルのための伸縮式銃床。","A telescopic buttstock for M4A1 assault rifle.","M4A1 突击步枪的伸缩式枪托。",

"str_iz_cfgvehicles_m4_mphndgrd0","M4A1 MP Handguard","M4A1 MP Handguard","Předpažbí M4A1 MP","M4A1-MP-Handschutz","Цевьё MP для M4A1","Łoże lufy MP M4A1","M4A1 MP Handguard","Paramani MP M4A1","Empuñadura para M4A1 MP","Garde-main MP de M4A1","M4A1 MP 扶手","M4A1 MP ハンドガード","M4A1 MP Handguard","M4A1 MP 护手",
"str_iz_cfgvehicles_m4_mphndgrd1","A MP series handguard for M4A1 assault rifle.","A MP series handguard for M4A1 assault rifle.","Předpažbí série MP na útočnou pušku M4A1.","Ein Handschutz der MP-Serie für das M4A1-Sturmgewehr.","Ствольная накладка серии MP для автомата M4A1.","Łoże z serii MP do karabinu szturmowego M4A1.","A MP series handguard for M4A1 assault rifle.","Paramani serie MP per il fucile d’assalto M4A1.","Una empuñadura de serie MP para el fusil de asalto M4A1.","Un garde-main de la série MP pour le fusil d'assaut M4A1.","MP 系列扶手，適用 M4A1 突擊步槍。","M4A1 アサルトライフルのための MP シリーズハンドガード。","A MP series handguard for M4A1 assault rifle.","M4A1 突击步枪的 MP 系列护手。",

"str_iz_cfgvehicles_m4_mpbttstck0","M4A1 MP Buttstock","M4A1 MP Buttstock","Pažba M4A1 MP","M4A1-MP-Schulterstütze","Приклад MP для M4A1","Kolba MP M4A1","M4A1 MP Buttstock","Calcio MP M4A1","Culata M4A1 MP","Crosse MP de M4A1","M4A1 MP 槍托","M4A1 MP 銃床","M4A1 MP Buttstock","M4A1 MP 枪托",
"str_iz_cfgvehicles_m4_mpbttstck1","A MP series buttstock for M4A1 assault rifles.","A MP series buttstock for M4A1 assault rifles.","Pažba série MP na útočnou pušku M4A1.","Eine Schulterstütze der MP-Serie für das M4A1-Sturmgewehr.","Приклад серии MP для автомата M4A1.","Kolba z serii MP do karabinu szturmowego M4A1.","A MP series buttstock for M4A1 assault rifles.","Calcio serie MP per fucili d’assalto M4A1.","Una culata de serie MP para fusiles de asalto M4A1.","Une crosse de la série MP pour le fusil d'assaut M4A1.","MP 系列槍托，適用 M4A1 突擊步槍。","M4A1 アサルトライフルのための MP シリーズ銃床。","A MP series buttstock for M4A1 assault rifles.","M4A1 突击步枪的 MP 系列枪托。",

"str_iz_cfgvehicles_m4_cqbbttstck0","M4A1 CQB Buttstock","M4A1 CQB Buttstock","Pažba M4A1 CQB","M4A1-CQB-Schulterstütze","Короткий приклад M4A1","Kolba CQB M4A1","M4A1 CQB Buttstock","Calcio CQB M4A1","Culata M4A1 CQB","Crosse CQB de M4A1","M4A1 近戰槍托","M4A1 CQB 銃床","M4A1 CQB Buttstock","M4A1 CQB 枪托",
"str_iz_cfgvehicles_m4_cqbbttstck1","A CQB buttstock for M4A1 assault rifles.","A CQB buttstock for M4A1 assault rifles.","Pažba CQB na útočnou pušku M4A1.","Eine Nahkampf-Schulterstütze für das M4A1-Sturmgewehr.","Приклад для ближнего боя для автоматов M4A1.","Kolba CQB do karabinu szturmowego M4A1.","A CQB buttstock for M4A1 assault rifles.","Calcio CQB per fucili d’assalto M4A1.","Una culata CBQ para fusiles de asalto M4A1.","Une crosse CQB pour le fusil d'assaut M4A1.","近戰槍托，適用 M4A1 突擊步槍。","M4A1 アサルトライフルのための CQB 銃床。","A CQB buttstock for M4A1 assault rifles.","M4A1 突击步枪的 CQB 枪托。",

"str_iz_cfgvehicles_m4_carryhandleoptic0","M4A1 Carry Handle Sights","M4A1 Carry Handle Sights","Rukojeť s mířidly M4A1","M4A1-Tragegriff-Visier","Прицел M4A1 с рукояткой для переноски","Uchwyt z celownikiem M4A1","M4A1 Carry Handle Sights","Ottiche a maniglione M4A1","Mira de asa M4A1","Poignée à viseur de M4A1","M4A1 提把瞄具","M4A1 キャリングハンドル照準器","M4A1 Carry Handle Sights","M4A1 把手瞄具",
"str_iz_cfgvehicles_m4_carryhandleoptic1","A standardized rail-mounted carry handle with iron sights designed for M4A1 assault rifle.","A standardized rail-mounted carry handle with iron sights designed for M4A1 assault rifle.","Standardizovaná transportní rukojeť s lištou a mířidly určená na útočnou pušku M4A1.","Standardisierter, schienengeführter Tragegriff mit Kimme und Korn für das M4A1-Sturmgewehr.","Стандартная реечная рукоятка для переноски с механическим прицелом, разработанным для автомата M4A1.","Doczepiany do szyny uniwersalny uchwyt z celownikiem do karabinu szturmowego M4A1.","A standardized rail-mounted carry handle with iron sights designed for M4A1 assault rifle.","Ottiche metalliche a maniglione montate su scanalatura e standardizzate progettate per il fucile d’assalto M4A1.","Un asa de riel estándar, con una mira de hierro, diseñada para el fusil de asalto M4A1.","Une poignée standard sur rail avec viseur pour mire. Pour le fusil d'assaut M4A1.","標準導軌式瞄具，含提把，適用於 M4A1 突擊步槍。","M4A1 アサルトライフルのためにデザインされ、アイアンサイトを持つ、標準化されたレール取り付け型のキャリングハンドル。","A standardized rail-mounted carry handle with iron sights designed for M4A1 assault rifle.","为 M4A1 突击步枪设计的标准化轨道式把手，带机械瞄具。",

"str_iz_cfgvehicles_fal_oebttstck0","FAL Polymer Buttstock","FAL Polymer Buttstock","Polymerová pažba FAL","FAL-Polymer-Schulterstütze","Полимерный приклад FAL","Polimerowa kolba FAL","FAL Polymer Buttstock","Calcio in polimero FAL","Culata de polímero FAL","Crosse polymère de FAL","FAL 聚合物槍托","FAL ポリマー銃床","FAL Polymer Buttstock","FAL 聚合物枪托",
"str_iz_cfgvehicles_fal_oebttstck1","A polymer buttstock for the FAL battle rifle.","A polymer buttstock for the FAL battle rifle.","Polymerová pažba na bojovou pušku FAL.","Eine Polymer-Schulterstütze für das FAL-Kampfgewehr.","Полимерный приклад для автоматической винтовки FAL.","Polimerowa kolba do karabinu bojowego FAL.","A polymer buttstock for the FAL battle rifle.","Calcio in polimero per il fucile da battaglia FAL.","Una culata de polímero para el fusil de combate FAL.","Une crosse en polymère pour le fusil d’assaut FAL.","聚合物槍托，適用 FAL 戰鬥步槍。","FAL バトルライフルのためのポリマー銃床。","A polymer buttstock for the FAL battle rifle.","FAL 战斗步枪的聚合物枪托。",

"str_iz_cfgvehicles_fal_foldingbttstck0","FAL Folding Buttstock","FAL Folding Buttstock","Skládací pažba FAL","Faltbare FAL-Schulterstütze","Складной приклад FAL","Składana polimerowa kolba FAL","FAL Folding Buttstock","Calcio pieghevole FAL","Culata plegable FAL","Crosse pliante de FAL","FAL 摺疊式槍托","FAL 折り畳み式銃床","FAL Folding Buttstock","FAL 折叠枪托",
"str_iz_cfgvehicles_fal_foldingbttstck1","A folding buttstock for the FAL battle rifle.","A folding buttstock for the FAL battle rifle.","Skládací pažba na bojovou pušku FAL.","Eine faltbare Schulterstütze für das FAL-Kampfgewehr.","Складной приклад для автоматической винтовки FAL.","Składana polimerowa kolba do karabinu bojowego FAL.","A folding buttstock for the FAL battle rifle.","Calcio pieghevole per il fucile da battaglia FAL.","Una culata plegable para el fusil de combate FAL.","Une crosse pliante pour le fusil d’assaut FAL.","摺疊式槍托，適用 FAL 戰鬥步槍。","FAL バトルライフルのための折り畳み式銃床。","A folding buttstock for the FAL battle rifle.","FAL 战斗步枪的折叠枪托。",

"str_iz_cfgvehicles_ak_woodhndgrd0","AK Wooden Handguard","AK Wooden Handguard","Dřevěné předpažbí AK","AK-Handschutz (Holz)","Деревянное цевьё AK","Drewniane łoże lufy AK","AK Wooden Handguard","Paramani in legno AK","Empuñadura de madera AK","Garde-main en bois de AK","AK 木質扶手","AK 木製ハンドガード","AK Wooden Handguard","AK 木制护手",
"str_iz_cfgvehicles_ak_woodhndgrd1","A wooden handguard for AK based assault rifle.","A wooden handguard for AK based assault rifle.","Dřevěné předpažbí útočné pušky AK.","Ein hölzerner Handschutz für AK-basierte Sturmgewehre.","Деревянная ствольная накладка для автомата системы AK.","Drewniane łoże do karabinu szturmowego AK.","A wooden handguard for AK based assault rifle.","Paramani in legno per fucili d’assalto di derivazione AK.","Una empuñadura de madera para fusiles de asalto tipo AK.","Un garde-main en bois pour les fusils d'assaut de type AK.","木質扶手，適用 AK 系列突擊步槍。","AK ベースのアサルトライフルのための木製のハンドガード。","A wooden handguard for AK based assault rifle.","AK 型突击步枪的木制护手。",

"str_iz_cfgvehicles_ak_woodbttstck0","AK Wooden Buttstock","AK Wooden Buttstock","Dřevěná pažba AK","AK-Schulterstütze (Holz)","Деревянный приклад AK","Drewniana kolba AK","AK Wooden Buttstock","Calcio in legno AK","Culata de madera AK","Crosse en bois de AK","AK 木質槍托","AK 木製銃床","AK Wooden Buttstock","AK 木制枪托",
"str_iz_cfgvehicles_ak_woodbttstck1","A wooden buttstock for AK based assault rifle.","A wooden buttstock for AK based assault rifle.","Dřevěná pažba na útočné pušky AK.","Eine hölzerne Schulterstütze für AK-basierte Sturmgewehre.","Деревянный приклад для автомата системы AK.","Drewniana kolba do karabinu szturmowego AK.","A wooden buttstock for AK based assault rifle.","Calcio in legno per fucili d’assalto di derivazione AK.","Una culata de madera para fusiles de asalto tipo AK.","Une crosse en bois pour les fusils d'assaut de type AK.","木質槍托，適用 AK 系列突擊步槍。","AK ベースのアサルトライフルのための木製の銃床。","A wooden buttstock for AK based assault rifle.","AK 型突击步枪的木制枪托。",

"str_iz_cfgvehicles_aks74u_bttstck0","AKS-74U Folding Buttstock","AKS-74U Folding Buttstock","Skládací pažba AKS-74U","Faltbare AKS-74U-Schulterstütze","Складной приклад AKS-74U","Składana kolba AKS-74U","AKS-74U Folding Buttstock","Calcio pieghevole AKS-74U","Culata plegable AKS-74U","Crosse pliante de AKS-74U","AKS-74U 摺疊式槍托","AKS-74U 折り畳み式銃床","AKS-74U Folding Buttstock","AKS-74U 折叠枪托",
"str_iz_cfgvehicles_aks74u_bttstck1","Folding buttstock for the AKS-74U assault rifle.","Folding buttstock for the AKS-74U assault rifle.","Skládací pažba na útočnou pušku AKS-74U.","Faltbare Schulterstütze für das AKS-74U-Sturmgewehr.","Складной приклад для автомата AKS-74U.","Składana kolba do karabinu szturmowego AKS-74U.","Folding buttstock for the AKS-74U assault rifle.","Un calcio pieghevole per fucile d’assalto AKS-74U.","Una culata plegable para el fusil de asalto AKS-74U.","Une crosse pliante pour fusil d'assaut AKS-74U.","摺疊式槍托，適用 AKS-74U 突擊步槍。","AKS-74U アサルトライフル用折り畳み式銃床。","Folding buttstock for the AKS-74U assault rifle.","AKS-74U 突击步枪的折叠枪托。",

"str_iz_cfgvehicles_ak_railhndgrd0","AK Rail Handguard","AK Rail Handguard","Lištové předpažbí AK","AK-Schienenhandschutz","Реечная ствольная накладка AK","Łoże lufy AK","AK Rail Handguard","Paramani da scanalatura AK","Empuñadura de riel AK","Garde-main à rail de AK","AK 導軌扶手","AK レールハンドガード","AK Rail Handguard","AK 钢轨护手",
